Device Line,Base Part,Orderable Part Number,Status,Material Type,Package | Pins,Package Qty | Carrier,RoHS,Lead Finish / Ball Material,MSL Rating / Peak Reflow,Op Temp (C),Part Marking
AM62x,AM6254,AM6254ASGGHAALW.B,Active,Production,FCCSP (ALW) | 425,119 | JEDEC TRAY (10+1),Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6254A SGGHAALW 131
AM62x,AM6254,AM6254ATCGGAALW,Active,Production,FCCSP (ALW) | 425,119 | JEDEC TRAY (10+1),Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6254A TCGGAALW 131
AM62x,AM6254,AM6254ATCGHAALW,Active,Production,FCCSP (ALW) | 425,119 | JEDEC TRAY (10+1),Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6254A TCGHAALW 131
AM62x,AM6254,AM6254ATCGHAALW.B,Active,Production,FCCSP (ALW) | 425,119 | JEDEC TRAY (10+1),Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6254A TCGHAALW 131
AM62x,AM6254,AM6254ATCGHIALWR,Active,Production,FCCSP (ALW) | 425,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 125,AM6254A TCGHIALW 131
AM62x,AM6254,AM6254ATCGHIALWR.B,Active,Production,FCCSP (ALW) | 425,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 125,AM6254A TCGHIALW 131
AM62x,AM6254,AM6254ATGFHIAMCRQ1,Active,Production,FCBGA (AMC) | 441,500 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,AM6254A TGFHIAMCQ1 131
AM62x,AM6254,AM6254ATGFHIAMCRQ1.B,Active,Production,FCBGA (AMC) | 441,500 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,AM6254A TGFHIAMCQ1 131
AM62x,AM6254,AM6254ATGGHAALW,Active,Production,FCCSP (ALW) | 425,119 | JEDEC TRAY (10+1),Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6254A TGGHAALW 131
AM62x,AM6254,AM6254ATGGHAALW.B,Active,Production,FCCSP (ALW) | 425,119 | JEDEC TRAY (10+1),Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6254A TGGHAALW 131
AM62x,AM6254,AM6254BSGFHIAMCRQ1,Active,Production,FCBGA (AMC) | 441,500 | LARGE T&R,-,Call TI,Level-3-250C-168 HR,-40 to 125,54BSGFHI Q1
AM62x,AM6254,AM6254BTCFHIALWRQ1,Active,Production,FCCSP (ALW) | 425,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 125,54BTCFHI
AM62x,AM6254,AM6254BTGFHIALWRQ1,Active,Production,FCCSP (ALW) | 425,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 125,54BTGFHI
AM62x,AM6254,AM6254BTGFHIAMCRQ1,Active,Production,FCBGA (AMC) | 441,500 | LARGE T&R,-,Call TI,Level-3-250C-168 HR,-40 to 125,54BTGFHI Q1
AM62L,AM62L31,AM62L31BEGHAANBR,Active,Production,FCCSP (ANB) | 373,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 125,31BEGHA 412
AM62L,AM62L31,AM62L31BOGHAANBR,Active,Production,FCCSP (ANB) | 373,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 125,31BOGHA 412
AM62L,AM62L32,AM62L32BEGHAANBR,Active,Production,FCCSP (ANB) | 373,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 125,32BEGHA 412
AM62L,AM62L32,AM62L32BOGHAANBR,Active,Production,FCCSP (ANB) | 373,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 125,32BOGHA 412
AM62L,AM62L32,AM62L32BOGHIANBR,Active,Production,FCCSP (ANB) | 373,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 125,32BOGHI 412
AM62A,AM62A12,AM62A12AQMSIANFRQ1,Active,Production,FCCSP (ANF) | 484,500 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,TI AM62A 12AQMSI Q1
AM62A,AM62A12,AM62A12AQMSIANFRQ1.B,Active,Production,FCCSP (ANF) | 484,500 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,TI AM62A 12AQMSI Q1
AM62A,AM62A31,AM62A31AMLHAAMB,Preview,Production,FCBGA (AMB) | 484,84 | JEDEC TRAY (5+1),-,Call TI,Call TI,-40 to 105,
AM62A,AM62A32,AM62A32AMLHAAMB,Preview,Production,FCBGA (AMB) | 484,84 | JEDEC TRAY (5+1),-,Call TI,Call TI,-40 to 105,
AM62A,AM62A32,AM62A32AMLSIAMBQ1,Preview,Production,FCBGA (AMB) | 484,84 | JEDEC TRAY (5+1),-,Call TI,Call TI,-40 to 125,
AM62A,AM62A32,AM62A32AOMHIAMBR,Active,Production,FCBGA (AMB) | 484,500 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,AM62A32A OMHIAMB 498
AM62A,AM62A32,AM62A32AOMHIAMBR.B,Active,Production,FCBGA (AMB) | 484,500 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,AM62A32A OMHIAMB 498
AM62A,AM62A32,AM62A32AOMHIANFR,Active,Production,FCCSP (ANF) | 484,500 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,TI AM62A 32AOMHI
AM62A,AM62A32,AM62A32ASMSIAMBRQ1,Active,Production,FCBGA (AMB) | 484,500 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,AM62A32A SMSIAMBQ1 498
AM62A,AM62A32,AM62A32ASMSIAMBRQ1.B,Active,Production,FCBGA (AMB) | 484,500 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,AM62A32A SMSIAMBQ1 498
AM62A,AM62A32,AM62A32ASMSIANFRQ1,Active,Production,FCCSP (ANF) | 484,500 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,TI AM62A 32ASMSI Q1
AM62A,AM62A34,AM62A34ASMHAAMB,Preview,Production,FCBGA (AMB) | 484,84 | JEDEC TRAY (5+1),Yes,Call TI,Level-3-250C-168 HR,-40 to 105,AM62A34A SMHAAMB 498
AM62A,AM62A34,AM62A34ASMHIANFR,Active,Production,FCCSP (ANF) | 484,500 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,TI AM62A 34ASMHI
AM62A,AM62A34,AM62A34ASMSIAMBRQ1,Active,Production,FCBGA (AMB) | 484,500 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,AM62A34A SMSIAMBQ1 498
AM62A,AM62A34,AM62A34ASMSIAMBRQ1.B,Active,Production,FCBGA (AMB) | 484,500 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,AM62A34A SMSIAMBQ1 498
AM62A,AM62A34,AM62A34ASMSIANFRQ1,Active,Production,FCCSP (ANF) | 484,500 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,TI AM62A 34ASMSI Q1
AM62A,AM62A34,AM62A34ASMSIANFRQ1.B,Active,Production,FCCSP (ANF) | 484,500 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,TI AM62A 34ASMSI Q1
AM62A,AM62A74,AM62A74AUMHAAMB,Preview,Production,FCBGA (AMB) | 484,84 | JEDEC TRAY (5+1),Yes,Call TI,Level-3-250C-168 HR,-40 to 105,AM62A74A UMHAAMB 498
AM62A,AM62A74,AM62A74AUMHAAMBR,Active,Production,FCBGA (AMB) | 484,500 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 105,AM62A74A UMHAAMB 498
AM62A,AM62A74,AM62A74AUMHAAMBR.B,Active,Production,FCBGA (AMB) | 484,500 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 105,AM62A74A UMHAAMB 498
